fiscal_year,year,item_description,value_in_crores,released_on,updated_on,data_source,source_url
2021-22,2021,Current taxes on income wealth etc ,1394995.7,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Net Saving of Public Corporations,375052.947,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Net Saving of Private Corporations,1494285.18,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,"Current taxes on income and wealth, paid by corporations",0.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Personal Income,19230722.406,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,"Current taxes on income and wealth, paid by households",1394995.7,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2021-22,2021,Household Disposable Income,17835726.706,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Net National Income,23439441.749,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Other current transfers from RoW net,819211.741,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Net National Disposable Income,24258653.489,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Net Disposable Income of General Government,2024379.487,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Current taxes on income wealth etc ,1638909.011,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Net Saving of Public Corporations,456869.943,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Net Saving of Private Corporations,1639473.786,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,"Current taxes on income and wealth, paid by corporations",0.0,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Personal Income,21776839.285,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,"Current taxes on income and wealth, paid by households",1638909.011,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
2022-23,2022,Household Disposable Income,20137930.274,2024-05-06,2026-03-19,"Economic Statistics Division, MoSPI",https://esankhyiki.mospi.gov.in/catalogue-main/catalogue?page=0&search=
